DATE,DJIA Value
1/12/09,8473.97
1/13/09,8448.56
1/14/09,8200.14
1/15/09,8212.49
1/16/09,8281.22
1/19/09,.
1/20/09,7949.09
1/21/09,8228.1
1/22/09,8122.8
1/23/09,8077.56
1/26/09,8116.03
1/27/09,8174.73
1/28/09,8375.45
1/29/09,8149.01
1/30/09,8000.86
2/2/09,7936.83
2/3/09,8078.36
2/4/09,7956.66
2/5/09,8063.07
2/6/09,8280.59
2/9/09,8270.87
2/10/09,7888.88
2/11/09,7939.53
2/12/09,7932.76
2/13/09,7850.41
2/16/09,.
2/17/09,7552.6
2/18/09,7555.63
2/19/09,7465.95
2/20/09,7365.67
2/23/09,7114.78
2/24/09,7350.94
2/25/09,7270.89
2/26/09,7182.08
2/27/09,7062.93
3/2/09,6763.29
3/3/09,6726.02
3/4/09,6875.84
3/5/09,6594.44
3/6/09,6626.94
3/9/09,6547.05
3/10/09,6926.49
3/11/09,6930.4
3/12/09,7170.06
3/13/09,7223.98
3/16/09,7216.97
3/17/09,7395.7
3/18/09,7486.58
3/19/09,7400.8
3/20/09,7278.38
3/23/09,7775.86
3/24/09,7659.97
3/25/09,7749.81
3/26/09,7924.56
3/27/09,7776.18
3/30/09,7522.02
3/31/09,7608.92
4/1/09,7761.6
4/2/09,7978.08
4/3/09,8017.59
4/6/09,7975.85
4/7/09,7789.56
4/8/09,7837.11
4/9/09,8083.38
4/10/09,.
4/13/09,8057.81
4/14/09,7920.18
4/15/09,8029.62
4/16/09,8125.43
4/17/09,8131.33
4/20/09,7841.73
4/21/09,7969.56
4/22/09,7886.57
4/23/09,7957.06
4/24/09,8076.29
4/27/09,8025
4/28/09,8016.95
4/29/09,8185.73
4/30/09,8168.12
5/1/09,8212.41
5/4/09,8426.74
5/5/09,8410.65
5/6/09,8512.28
5/7/09,8409.85
5/8/09,8574.65
5/11/09,8418.77
5/12/09,8469.11
5/13/09,8284.89
5/14/09,8331.32
5/15/09,8268.64
5/18/09,8504.08
5/19/09,8474.85
5/20/09,8422.04
5/21/09,8292.13
5/22/09,8277.32
5/25/09,.
5/26/09,8473.49
5/27/09,8300.02
5/28/09,8403.8
5/29/09,8500.33
6/1/09,8721.44
6/2/09,8740.87
6/3/09,8675.28
6/4/09,8750.24
6/5/09,8763.13
6/8/09,8764.49
6/9/09,8763.06
6/10/09,8739.02
6/11/09,8770.92
6/12/09,8799.26
6/15/09,8612.13
6/16/09,8504.67
6/17/09,8497.18
6/18/09,8555.6
6/19/09,8539.73
6/22/09,8339.01
6/23/09,8322.91
6/24/09,8299.86
6/25/09,8472.4
6/26/09,8438.39
6/29/09,8529.38
6/30/09,8447
7/1/09,8504.06
7/2/09,8280.74
7/3/09,.
7/6/09,8324.87
7/7/09,8163.6
7/8/09,8178.41
7/9/09,8183.17
7/10/09,8146.52
7/13/09,8331.68
7/14/09,8359.49
7/15/09,8616.21
7/16/09,8711.82
7/17/09,8743.94
7/20/09,8848.15
7/21/09,8915.94
7/22/09,8881.26
7/23/09,9069.29
7/24/09,9093.24
7/27/09,9108.51
7/28/09,9096.72
7/29/09,9070.72
7/30/09,9154.46
7/31/09,9171.61
8/3/09,9286.56
8/4/09,9320.19
8/5/09,9280.97
8/6/09,9256.26
8/7/09,9370.07
8/10/09,9337.95
8/11/09,9241.45
8/12/09,9361.61
8/13/09,9398.19
8/14/09,9321.4
8/17/09,9135.34
8/18/09,9217.94
8/19/09,9279.16
8/20/09,9350.05
8/21/09,9505.96
8/24/09,9509.28
8/25/09,9539.29
8/26/09,9543.52
8/27/09,9580.63
8/28/09,9544.2
8/31/09,9496.28
9/1/09,9310.6
9/2/09,9280.67
9/3/09,9344.61
9/4/09,9441.27
9/7/09,.
9/8/09,9497.34
9/9/09,9547.22
9/10/09,9627.48
9/11/09,9605.41
9/14/09,9626.8
9/15/09,9683.41
9/16/09,9791.71
9/17/09,9783.92
9/18/09,9820.2
9/21/09,9778.86
9/22/09,9829.87
9/23/09,9748.55
9/24/09,9707.44
9/25/09,9665.19
9/28/09,9789.36
9/29/09,9742.2
9/30/09,9712.28
10/1/09,9509.28
10/2/09,9487.67
10/5/09,9599.75
10/6/09,9731.25
10/7/09,9725.58
10/8/09,9786.87
10/9/09,9864.94
10/12/09,9885.8
10/13/09,9871.06
